Date,spx
30/12/2022,3839.5
29/12/2022,3849.28
28/12/2022,3783.22
27/12/2022,3829.25
23/12/2022,3844.82
22/12/2022,3822.39
21/12/2022,3878.44
20/12/2022,3821.62
19/12/2022,3817.66
16/12/2022,3852.36
15/12/2022,3895.75
14/12/2022,3995.32
13/12/2022,4019.65
12/12/2022,3990.56
09/12/2022,3934.38
08/12/2022,3963.51
07/12/2022,3933.92
06/12/2022,3941.26
05/12/2022,3998.84
02/12/2022,4071.7
01/12/2022,4076.57
30/11/2022,4080.11
29/11/2022,3957.63
28/11/2022,3963.94
25/11/2022,4026.12
23/11/2022,4027.26
22/11/2022,4003.58
21/11/2022,3949.94
18/11/2022,3965.34
17/11/2022,3946.56
16/11/2022,3958.79
15/11/2022,3991.73
14/11/2022,3957.25
11/11/2022,3992.93
10/11/2022,3956.37
09/11/2022,3748.57
08/11/2022,3828.11
07/11/2022,3806.8
04/11/2022,3770.55
03/11/2022,3719.89
02/11/2022,3759.69
01/11/2022,3856.1
31/10/2022,3871.98
28/10/2022,3901.06
27/10/2022,3807.3
26/10/2022,3830.6
25/10/2022,3859.11
24/10/2022,3797.34
21/10/2022,3752.75
20/10/2022,3665.78
19/10/2022,3695.16
18/10/2022,3719.98
17/10/2022,3677.95
14/10/2022,3583.07
13/10/2022,3669.91
12/10/2022,3577.03
11/10/2022,3588.84
10/10/2022,3612.39
07/10/2022,3639.66
06/10/2022,3744.52
05/10/2022,3783.28
04/10/2022,3790.93
03/10/2022,3678.43
30/09/2022,3585.62
29/09/2022,3640.47
28/09/2022,3719.04
27/09/2022,3647.29
26/09/2022,3655.04
23/09/2022,3693.23
22/09/2022,3757.99
21/09/2022,3789.93
20/09/2022,3855.93
19/09/2022,3899.89
16/09/2022,3873.33
15/09/2022,3901.35
14/09/2022,3946.01
13/09/2022,3932.69
12/09/2022,4110.41
09/09/2022,4067.36
08/09/2022,4006.18
07/09/2022,3979.87
06/09/2022,3908.19
02/09/2022,3924.26
01/09/2022,3966.85
31/08/2022,3955
30/08/2022,3986.16
29/08/2022,4030.61
26/08/2022,4057.66
25/08/2022,4199.12
24/08/2022,4140.77
23/08/2022,4128.73
22/08/2022,4137.99
19/08/2022,4228.48
18/08/2022,4283.74
17/08/2022,4274.04
16/08/2022,4305.2
15/08/2022,4297.14
12/08/2022,4280.15
11/08/2022,4207.27
10/08/2022,4210.24
09/08/2022,4122.47
08/08/2022,4140.06
05/08/2022,4145.19
04/08/2022,4151.94
03/08/2022,4155.17
02/08/2022,4091.19
01/08/2022,4118.63
29/07/2022,4130.29
28/07/2022,4072.43
27/07/2022,4023.61
26/07/2022,3921.05
25/07/2022,3966.84
22/07/2022,3961.63
21/07/2022,3998.95
20/07/2022,3959.9
19/07/2022,3936.69
18/07/2022,3830.85
15/07/2022,3863.16
14/07/2022,3790.38
13/07/2022,3801.78
12/07/2022,3818.8
11/07/2022,3854.43
08/07/2022,3899.38
07/07/2022,3902.62
06/07/2022,3845.08
05/07/2022,3831.39
01/07/2022,3825.33
30/06/2022,3785.38
29/06/2022,3818.83
28/06/2022,3821.55
27/06/2022,3900.11
24/06/2022,3911.74
23/06/2022,3795.73
22/06/2022,3759.89
21/06/2022,3764.79
17/06/2022,3674.84
16/06/2022,3666.77
15/06/2022,3789.99
14/06/2022,3735.48
13/06/2022,3749.63
10/06/2022,3900.86
09/06/2022,4017.82
08/06/2022,4115.77
07/06/2022,4160.68
06/06/2022,4121.43
03/06/2022,4108.54
02/06/2022,4176.82
01/06/2022,4101.23
31/05/2022,4132.15
27/05/2022,4158.24
26/05/2022,4057.84
25/05/2022,3978.73
24/05/2022,3941.48
23/05/2022,3973.75
20/05/2022,3901.36
19/05/2022,3900.79
18/05/2022,3923.68
17/05/2022,4088.85
16/05/2022,4008.01
13/05/2022,4023.89
12/05/2022,3930.08
11/05/2022,3935.18
10/05/2022,4001.05
09/05/2022,3991.24
06/05/2022,4123.34
05/05/2022,4146.87
04/05/2022,4300.17
03/05/2022,4175.48
02/05/2022,4155.38
29/04/2022,4131.93
28/04/2022,4287.5
27/04/2022,4183.96
26/04/2022,4175.2
25/04/2022,4296.12
22/04/2022,4271.78
21/04/2022,4393.66
20/04/2022,4459.45
19/04/2022,4462.21
18/04/2022,4391.69
14/04/2022,4392.59
13/04/2022,4446.59
12/04/2022,4397.45
11/04/2022,4412.53
08/04/2022,4488.28
07/04/2022,4500.21
06/04/2022,4481.15
05/04/2022,4525.12
04/04/2022,4582.64
01/04/2022,4545.86
31/03/2022,4530.41
30/03/2022,4602.45
29/03/2022,4631.6
28/03/2022,4575.52
25/03/2022,4543.06
24/03/2022,4520.16
23/03/2022,4456.24
22/03/2022,4511.61
21/03/2022,4461.18
18/03/2022,4463.12
17/03/2022,4411.67
16/03/2022,4357.86
15/03/2022,4262.45
14/03/2022,4173.11
11/03/2022,4204.31
10/03/2022,4259.52
09/03/2022,4277.88
08/03/2022,4170.7
07/03/2022,4201.09
04/03/2022,4328.87
03/03/2022,4363.49
02/03/2022,4386.54
01/03/2022,4306.26
28/02/2022,4373.94
25/02/2022,4384.65
24/02/2022,4288.7
23/02/2022,4225.5
22/02/2022,4304.76
18/02/2022,4348.87
17/02/2022,4380.26
16/02/2022,4475.01
15/02/2022,4471.07
14/02/2022,4401.67
11/02/2022,4418.64
10/02/2022,4504.08
09/02/2022,4587.18
08/02/2022,4521.54
07/02/2022,4483.87
04/02/2022,4500.53
03/02/2022,4477.44
02/02/2022,4589.38
01/02/2022,4546.54
31/01/2022,4515.55
28/01/2022,4431.85
27/01/2022,4326.51
26/01/2022,4349.93
25/01/2022,4356.45
24/01/2022,4410.13
21/01/2022,4397.94
20/01/2022,4482.73
19/01/2022,4532.76
18/01/2022,4577.11
14/01/2022,4662.85
13/01/2022,4659.03
12/01/2022,4726.35
11/01/2022,4713.07
10/01/2022,4670.29
07/01/2022,4677.03
06/01/2022,4696.05
05/01/2022,4700.58
04/01/2022,4793.54
03/01/2022,4796.56
31/12/2021,4766.18
30/12/2021,4778.73
29/12/2021,4793.06
28/12/2021,4786.35
27/12/2021,4791.19
23/12/2021,4725.79
22/12/2021,4696.56
21/12/2021,4649.23
20/12/2021,4568.02
17/12/2021,4620.64
16/12/2021,4668.67
15/12/2021,4709.85
14/12/2021,4634.09
13/12/2021,4668.97
10/12/2021,4712.02
09/12/2021,4667.45
08/12/2021,4701.21
07/12/2021,4686.75
06/12/2021,4591.67
03/12/2021,4538.43
02/12/2021,4577.1
01/12/2021,4513.04
30/11/2021,4567
29/11/2021,4655.27
26/11/2021,4594.62
24/11/2021,4701.46
23/11/2021,4690.7
22/11/2021,4682.94
19/11/2021,4697.96
18/11/2021,4704.54
17/11/2021,4688.67
16/11/2021,4700.9
15/11/2021,4682.8
12/11/2021,4682.85
11/11/2021,4649.27
10/11/2021,4646.71
09/11/2021,4685.25
08/11/2021,4701.7
05/11/2021,4697.53
04/11/2021,4680.06
03/11/2021,4660.57
02/11/2021,4630.65
01/11/2021,4613.67
29/10/2021,4605.38
28/10/2021,4596.42
27/10/2021,4551.68
26/10/2021,4574.79
25/10/2021,4566.48
22/10/2021,4544.9
21/10/2021,4549.78
20/10/2021,4536.19
19/10/2021,4519.63
18/10/2021,4486.46
15/10/2021,4471.37
14/10/2021,4438.26
13/10/2021,4363.8
12/10/2021,4350.65
11/10/2021,4361.19
08/10/2021,4391.34
07/10/2021,4399.76
06/10/2021,4363.55
05/10/2021,4345.72
04/10/2021,4300.46
01/10/2021,4357.04
30/09/2021,4307.54
29/09/2021,4359.46
28/09/2021,4352.63
27/09/2021,4443.11
24/09/2021,4455.48
23/09/2021,4448.98
22/09/2021,4395.64
21/09/2021,4354.19
20/09/2021,4357.73
17/09/2021,4432.99
16/09/2021,4473.75
15/09/2021,4480.7
14/09/2021,4443.05
13/09/2021,4468.73
10/09/2021,4458.58
09/09/2021,4493.28
08/09/2021,4514.07
07/09/2021,4520.03
03/09/2021,4535.43
02/09/2021,4536.95
01/09/2021,4524.09
31/08/2021,4522.68
30/08/2021,4528.79
27/08/2021,4509.37
26/08/2021,4470
25/08/2021,4496.19
24/08/2021,4486.23
23/08/2021,4479.53
20/08/2021,4441.67
19/08/2021,4405.8
18/08/2021,4400.27
17/08/2021,4448.08
16/08/2021,4479.71
13/08/2021,4468
12/08/2021,4460.83
11/08/2021,4447.7
10/08/2021,4436.75
09/08/2021,4432.35
06/08/2021,4436.52
05/08/2021,4429.1
04/08/2021,4402.66
03/08/2021,4423.15
02/08/2021,4387.16
30/07/2021,4395.26
29/07/2021,4419.15
28/07/2021,4400.64
27/07/2021,4401.46
26/07/2021,4422.3
23/07/2021,4411.79
22/07/2021,4367.48
21/07/2021,4358.69
20/07/2021,4323.06
19/07/2021,4258.49
16/07/2021,4327.16
15/07/2021,4360.03
14/07/2021,4374.3
13/07/2021,4369.21
12/07/2021,4384.63
09/07/2021,4369.55
08/07/2021,4320.82
07/07/2021,4358.13
06/07/2021,4343.54
02/07/2021,4352.34
01/07/2021,4319.94
30/06/2021,4297.5
29/06/2021,4291.8
28/06/2021,4290.61
25/06/2021,4280.7
24/06/2021,4266.49
23/06/2021,4241.84
22/06/2021,4246.44
21/06/2021,4224.79
18/06/2021,4166.45
17/06/2021,4221.86
16/06/2021,4223.7
15/06/2021,4246.59
14/06/2021,4255.15
11/06/2021,4247.44
10/06/2021,4239.18
09/06/2021,4219.55
08/06/2021,4227.26
07/06/2021,4226.52
04/06/2021,4229.89
03/06/2021,4192.85
02/06/2021,4208.12
01/06/2021,4202.04
28/05/2021,4204.11
27/05/2021,4200.88
26/05/2021,4195.99
25/05/2021,4188.13
24/05/2021,4197.05
21/05/2021,4155.86
20/05/2021,4159.12
19/05/2021,4115.68
18/05/2021,4127.83
17/05/2021,4163.29
14/05/2021,4173.85
13/05/2021,4112.5
12/05/2021,4063.04
11/05/2021,4152.1
10/05/2021,4188.43
07/05/2021,4232.6
06/05/2021,4201.62
05/05/2021,4167.59
04/05/2021,4164.66
03/05/2021,4192.66
30/04/2021,4181.17
29/04/2021,4211.47
28/04/2021,4183.18
27/04/2021,4186.72
26/04/2021,4187.62
23/04/2021,4180.17
22/04/2021,4134.98
21/04/2021,4173.42
20/04/2021,4134.94
19/04/2021,4163.26
16/04/2021,4185.47
15/04/2021,4170.42
14/04/2021,4124.66
13/04/2021,4141.59
12/04/2021,4127.99
09/04/2021,4128.8
08/04/2021,4097.17
07/04/2021,4079.95
06/04/2021,4073.94
05/04/2021,4077.91
01/04/2021,4019.87
31/03/2021,3972.89
30/03/2021,3958.55
29/03/2021,3971.09
26/03/2021,3974.54
25/03/2021,3909.52
24/03/2021,3889.14
23/03/2021,3910.52
22/03/2021,3940.59
19/03/2021,3913.1
18/03/2021,3915.46
17/03/2021,3974.12
16/03/2021,3962.71
15/03/2021,3968.94
12/03/2021,3943.34
11/03/2021,3939.34
10/03/2021,3898.81
09/03/2021,3875.44
08/03/2021,3821.35
05/03/2021,3841.94
04/03/2021,3768.47
03/03/2021,3819.72
02/03/2021,3870.29
01/03/2021,3901.82
26/02/2021,3811.15
25/02/2021,3829.34
24/02/2021,3925.43
23/02/2021,3881.37
22/02/2021,3876.5
19/02/2021,3906.71
18/02/2021,3913.97
17/02/2021,3931.33
16/02/2021,3932.59
12/02/2021,3934.83
11/02/2021,3916.38
10/02/2021,3909.88
09/02/2021,3911.23
08/02/2021,3915.59
05/02/2021,3886.83
04/02/2021,3871.74
03/02/2021,3830.17
02/02/2021,3826.31
01/02/2021,3773.86
29/01/2021,3714.24
28/01/2021,3787.38
27/01/2021,3750.77
26/01/2021,3849.62
25/01/2021,3855.36
22/01/2021,3841.47
21/01/2021,3853.07
20/01/2021,3851.85
19/01/2021,3798.91
15/01/2021,3768.25
14/01/2021,3795.54
13/01/2021,3809.84
12/01/2021,3801.19
11/01/2021,3799.61
08/01/2021,3824.68
07/01/2021,3803.79
06/01/2021,3748.14
05/01/2021,3726.86
04/01/2021,3700.65
31/12/2020,3756.07
30/12/2020,3732.04
29/12/2020,3727.04
28/12/2020,3735.36
24/12/2020,3703.06
23/12/2020,3690.01
22/12/2020,3687.26
21/12/2020,3694.92
18/12/2020,3709.41
17/12/2020,3722.48
16/12/2020,3701.17
15/12/2020,3694.62
14/12/2020,3647.49
11/12/2020,3663.46
10/12/2020,3668.1
09/12/2020,3672.82
08/12/2020,3702.25
07/12/2020,3691.96
04/12/2020,3699.12
03/12/2020,3666.72
02/12/2020,3669.01
01/12/2020,3662.45
30/11/2020,3621.63
27/11/2020,3638.35
25/11/2020,3629.65
24/11/2020,3635.41
23/11/2020,3577.59
20/11/2020,3557.54
19/11/2020,3581.87
18/11/2020,3567.79
17/11/2020,3609.53
16/11/2020,3626.91
13/11/2020,3585.15
12/11/2020,3537.01
11/11/2020,3572.66
10/11/2020,3545.53
09/11/2020,3550.5
06/11/2020,3509.44
05/11/2020,3510.45
04/11/2020,3443.44
03/11/2020,3369.16
02/11/2020,3310.24
30/10/2020,3269.96
29/10/2020,3310.11
28/10/2020,3271.03
27/10/2020,3390.68
26/10/2020,3400.97
23/10/2020,3465.39
22/10/2020,3453.49
21/10/2020,3435.56
20/10/2020,3443.12
19/10/2020,3426.92
16/10/2020,3483.81
15/10/2020,3483.34
14/10/2020,3488.67
13/10/2020,3511.93
12/10/2020,3534.22
09/10/2020,3477.13
08/10/2020,3446.83
07/10/2020,3419.45
06/10/2020,3360.95
05/10/2020,3408.63
02/10/2020,3348.44
01/10/2020,3380.8
30/09/2020,3363
29/09/2020,3335.47
28/09/2020,3351.6
25/09/2020,3298.46
24/09/2020,3246.59
23/09/2020,3236.92
22/09/2020,3315.57
21/09/2020,3281.06
18/09/2020,3319.47
17/09/2020,3357.01
16/09/2020,3385.49
15/09/2020,3401.2
14/09/2020,3383.54
11/09/2020,3340.97
10/09/2020,3339.19
09/09/2020,3398.96
08/09/2020,3331.84
04/09/2020,3426.96
03/09/2020,3455.06
02/09/2020,3580.84
01/09/2020,3526.65
31/08/2020,3500.31
28/08/2020,3508.01
27/08/2020,3484.55
26/08/2020,3478.73
25/08/2020,3443.62
24/08/2020,3431.28
21/08/2020,3397.16
20/08/2020,3385.51
19/08/2020,3374.85
18/08/2020,3389.78
17/08/2020,3381.99
14/08/2020,3372.85
13/08/2020,3373.43
12/08/2020,3380.35
11/08/2020,3333.69
10/08/2020,3360.47
07/08/2020,3351.28
06/08/2020,3349.16
05/08/2020,3327.77
04/08/2020,3306.51
03/08/2020,3294.61
31/07/2020,3271.12
30/07/2020,3246.22
29/07/2020,3258.44
28/07/2020,3218.44
27/07/2020,3239.41
24/07/2020,3215.63
23/07/2020,3235.66
22/07/2020,3276.02
21/07/2020,3257.3
20/07/2020,3251.84
17/07/2020,3224.73
16/07/2020,3215.57
15/07/2020,3226.56
14/07/2020,3197.52
13/07/2020,3155.22
10/07/2020,3185.04
09/07/2020,3152.05
08/07/2020,3169.94
07/07/2020,3145.32
06/07/2020,3179.72
